exercise,sets,reps,weight_lbs,datetime,duration_minutes
Snatch,1,2,85,2019-02-19T20:15:00,85
Snatch,1,2,95,2019-02-19T20:15:00,85
Deadlift,1,5,115,2019-02-20T20:30:00,80
Deadlift,1,3,135,2019-02-20T20:30:00,80
Deadlift,1,3,155,2019-02-20T20:30:00,80
Deadlift,1,3,185,2019-02-20T20:30:00,80
Deadlift,1,3,205,2019-02-20T20:30:00,80
Snatch,1,2,45,2019-02-20T20:30:00,80
Snatch,1,2,65,2019-02-20T20:30:00,80
Snatch,3,2,75,2019-02-20T20:30:00,80
Clean&Jerk,1,2,45,2019-02-20T20:30:00,80
Clean&Jerk,1,2,65,2019-02-20T20:30:00,80
Clean&Jerk,3,2,75,2019-02-20T20:30:00,80
BackSquat,3,5,210,2019-02-23T15:00:00,105
Clean&Jerk,1,4,75,2019-02-23T15:00:00,105
Clean&Jerk,1,4,85,2019-02-23T15:00:00,105
Clean&Jerk,1,4,95,2019-02-23T15:00:00,105
ShoulderPress,3,5,115,2019-02-24T17:05:00,70
OverheadSquat,1,5,75,2019-02-24T17:05:00,70
OverheadSquat,1,5,85,2019-02-24T17:05:00,70
OverheadSquat,1,5,95,2019-02-24T17:05:00,70
Snatch,1,4,75,2019-02-24T17:05:00,70
Snatch,1,4,85,2019-02-24T17:05:00,70
Snatch,1,4,95,2019-02-24T17:05:00,70
FrontSquat,2,5,135,2019-02-25T18:20:00,90
FrontSquat,1,5,145,2019-02-25T18:20:00,90
FrontSquat,1,5,155,2019-02-25T18:20:00,90
BenchPress,3,5,155,2019-02-26T17:50:00,111
OverheadSquat,1,5,45,2019-02-26T17:50:00,111
OverheadSquat,1,5,65,2019-02-26T17:50:00,111
OverheadSquat,1,5,75,2019-02-26T17:50:00,111
Deadlift,1,5,155,2019-02-27T18:21:00,
Deadlift,1,5,185,2019-02-27T18:21:00,
Deadlift,1,5,205,2019-02-27T18:21:00,
Snatch,1,2,45,2019-02-27T18:21:00,
Snatch,1,2,65,2019-02-27T18:21:00,
Snatch,1,2,75,2019-02-27T18:21:00,
Snatch,1,2,85,2019-02-27T18:21:00,
Snatch,1,2,95,2019-02-27T18:21:00,
Clean&Jerk,1,2,45,2019-02-27T18:21:00,
Clean&Jerk,1,2,65,2019-02-27T18:21:00,
Clean&Jerk,1,2,75,2019-02-27T18:21:00,
Clean&Jerk,1,2,85,2019-02-27T18:21:00,
Clean&Jerk,1,2,95,2019-02-27T18:21:00,
BackSquat,3,4,225,2019-03-10T22:38:00,50
BackSquat,3,4,225,2019-03-18T12:30:00,60
ShoulderPress,3,4,115,2019-03-19T14:40:00,
Clean&Jerk,3,2,95,2019-03-10T22:38:00,
BackSquat,3,5,215,2019-03-23T17:30:00,75
BackSquat,3,5,215,2019-03-30T13:00:00,90
ShoulderPress,3,5,115,2019-03-24T15:15:00,65
FrontSquat,3,5,135,2019-04-02T18:15:00,
ShoulderPress,3,5,115,2019-03-31T20:15:00,75
OverheadSquat,3,5,75,2019-04-02T18:15:00,
BenchPress,5,10,95,2019-09-03T16:15:00,72
Deadlift,5,10,95,2019-09-03T16:15:00,72
BackSquat,5,10,95,2019-09-02T12:16:00,57
OverheadSquat,3,10,45,2019-09-04T11:25:00,60
SnatchPress,3,10,65,2019-09-04T11:25:00,60
Deadlift,5,10,95,2019-09-05T11:15:00,75
ShoulderPress,4,10,65,2019-09-06T10:20:00,65
Deadlift,5,10,95,2019-09-09T11:50:00,75
BenchPress,5,10,95,2019-09-09T11:50:00,75
BackSquat,5,10,95,2019-09-10T10:25:00,73
OverheadSquat,3,10,65,2019-09-11T11:15:00,70
ShoulderPress,3,10,65,2019-09-13T10:05:00,58
Deadlift,5,10,95,2019-09-12T11:05:00,85
Deadlift,5,10,95,2019-09-16T10:00:00,60
BenchPress,5,10,95,2019-09-16T10:00:00,60
BackSquat,5,10,95,2019-09-19T22:40:00,59
OverheadSquat,3,10,45,2019-09-17T22:00:00,58
ShoulderPress,3,10,65,2019-09-20T16:22:00,53
FrontSquat,3,10,65,2019-09-20T16:22:00,53
BenchPress,5,10,105,2019-09-23T10:03:00,62
BackSquat,5,10,105,2019-09-25T16:05:00,63
BenchPress,5,10,105,2019-10-07T12:45:00,
BackSquat,5,10,105,2019-10-09T09:40:00,70
SnatchPress,4,10,65,2019-10-08T14:45:00,75
FrontSquat,3,10,75,2019-10-10T10:15:00,75
ShoulderPress,3,10,75,2019-10-10T10:15:00,75
BackSquat,5,10,105,2019-10-30T13:25:00,80
BenchPress,5,10,105,2019-10-30T13:25:00,80
OverheadSquat,1,10,65,2019-11-01T11:00:00,90
OverheadSquat,1,10,75,2019-11-01T11:00:00,90
OverheadSquat,1,10,85,2019-11-01T11:00:00,90
FrontSquat,5,10,75,2019-10-31T22:50:00,80
ShoulderPress,5,10,75,2019-10-31T22:50:00,80
FrontSquat,3,10,85,2019-11-02T11:08:00,87
BackSquat,5,10,105,2019-11-05T09:40:00,55
BenchPress,5,10,105,2019-11-05T09:40:00,55
FrontSquat,5,10,75,2019-11-06T10:40:00,85
ShoulderPress,5,10,75,2019-11-06T10:40:00,85
BackSquat,5,10,105,2019-11-12T13:45:00,90
BenchPress,5,10,105,2019-11-12T13:45:00,90
ShoulderPress,5,10,75,2019-11-13T15:45:00,75
FrontSquat,5,10,75,2019-11-13T15:45:00,75
SnatchPress,1,10,65,2019-11-15T11:35:00,123
SnatchPress,1,10,75,2019-11-15T11:35:00,123
SnatchPress,1,10,85,2019-11-15T11:35:00,123
OverheadSquat,1,10,65,2019-11-15T11:35:00,123
OverheadSquat,1,10,75,2019-11-15T11:35:00,123
OverheadSquat,1,10,85,2019-11-15T11:35:00,123
BackSquat,5,10,115,2019-11-18T11:46:00,74
OverheadSquat,1,10,75,2019-11-20T10:50:00,75
OverheadSquat,1,10,85,2019-11-20T10:50:00,75
OverheadSquat,1,10,95,2019-11-20T10:50:00,75
ShoulderPress,5,10,85,2019-11-21T18:15:00,64
