,exercise,sets,reps,weight_lbs,datetime,duration_minutes
257,ShoulderPress,3,5,115,2019-02-24T17:05:00,70.0
258,OverheadSquat,1,5,75,2019-02-24T17:05:00,70.0
259,OverheadSquat,1,5,85,2019-02-24T17:05:00,70.0
260,OverheadSquat,1,5,95,2019-02-24T17:05:00,70.0
261,Snatch,1,4,75,2019-02-24T17:05:00,70.0
262,Snatch,1,4,85,2019-02-24T17:05:00,70.0
263,Snatch,1,4,95,2019-02-24T17:05:00,70.0
264,FrontSquat,2,5,135,2019-02-25T18:20:00,90.0
265,FrontSquat,1,5,145,2019-02-25T18:20:00,90.0
266,FrontSquat,1,5,155,2019-02-25T18:20:00,90.0
267,BenchPress,3,5,155,2019-02-26T17:50:00,111.0
268,OverheadSquat,1,5,45,2019-02-26T17:50:00,111.0
269,OverheadSquat,1,5,65,2019-02-26T17:50:00,111.0
270,OverheadSquat,1,5,75,2019-02-26T17:50:00,111.0
271,Deadlift,1,5,155,2019-02-27T18:21:00,
272,Deadlift,1,5,185,2019-02-27T18:21:00,
273,Deadlift,1,5,205,2019-02-27T18:21:00,
274,Snatch,1,2,45,2019-02-27T18:21:00,
275,Snatch,1,2,65,2019-02-27T18:21:00,
276,Snatch,1,2,75,2019-02-27T18:21:00,
277,Snatch,1,2,85,2019-02-27T18:21:00,
278,Snatch,1,2,95,2019-02-27T18:21:00,
279,Clean&Jerk,1,2,45,2019-02-27T18:21:00,
280,Clean&Jerk,1,2,65,2019-02-27T18:21:00,
281,Clean&Jerk,1,2,75,2019-02-27T18:21:00,
282,Clean&Jerk,1,2,85,2019-02-27T18:21:00,
283,Clean&Jerk,1,2,95,2019-02-27T18:21:00,
284,BackSquat,3,4,225,2019-03-10T22:38:00,50.0
285,BackSquat,3,4,225,2019-03-18T12:30:00,60.0
286,ShoulderPress,3,4,115,2019-03-19T14:40:00,
287,Clean&Jerk,3,2,95,2019-03-10T22:38:00,
288,BackSquat,3,5,215,2019-03-23T17:30:00,75.0
289,BackSquat,3,5,215,2019-03-30T13:00:00,90.0
290,ShoulderPress,3,5,115,2019-03-24T15:15:00,65.0
291,FrontSquat,3,5,135,2019-04-02T18:15:00,
292,ShoulderPress,3,5,115,2019-03-31T20:15:00,75.0
293,OverheadSquat,3,5,75,2019-04-02T18:15:00,
294,BenchPress,5,10,95,2019-09-03T16:15:00,72.0
295,Deadlift,5,10,95,2019-09-03T16:15:00,72.0
296,BackSquat,5,10,95,2019-09-02T12:16:00,57.0
297,OverheadSquat,3,10,45,2019-09-04T11:25:00,60.0
298,SnatchPress,3,10,65,2019-09-04T11:25:00,60.0
299,Deadlift,5,10,95,2019-09-05T11:15:00,75.0
300,ShoulderPress,4,10,65,2019-09-06T10:20:00,65.0
301,Deadlift,5,10,95,2019-09-09T11:50:00,75.0
302,BenchPress,5,10,95,2019-09-09T11:50:00,75.0
303,BackSquat,5,10,95,2019-09-10T10:25:00,73.0
304,OverheadSquat,3,10,65,2019-09-11T11:15:00,70.0
305,ShoulderPress,3,10,65,2019-09-13T10:05:00,58.0
306,Deadlift,5,10,95,2019-09-12T11:05:00,85.0
307,Deadlift,5,10,95,2019-09-16T10:00:00,60.0
308,BenchPress,5,10,95,2019-09-16T10:00:00,60.0
309,BackSquat,5,10,95,2019-09-19T22:40:00,59.0
310,OverheadSquat,3,10,45,2019-09-17T22:00:00,58.0
311,ShoulderPress,3,10,65,2019-09-20T16:22:00,53.0
312,FrontSquat,3,10,65,2019-09-20T16:22:00,53.0
313,BenchPress,5,10,105,2019-09-23T10:03:00,62.0
314,BackSquat,5,10,105,2019-09-25T16:05:00,63.0
315,BenchPress,5,10,105,2019-10-07T12:45:00,
316,BackSquat,5,10,105,2019-10-09T09:40:00,70.0
